id,name,host_identity_verified,host_name,neighbourhood_group,neighbourhood,lat,long,instant_bookable,cancellation_policy,room_type,construction_year,price,service_fee,minimum_nights,number_of_reviews,review_rate_number,calculated_host_listings_count,availability_365,outlier_mn;
1001254,Clean & quiet apt home by the park,unconfirmed,Madaline,Brooklyn,Kensington,40.64749,-73.97237,False,strict,Private room,2020,966.0,193.0,10,9,4.0,6.0,286.0,not-outlier;
1002102,Skylit Midtown Castle,verified,Jenna,Manhattan,Midtown,40.75362,-73.98377,False,moderate,Entire home/apt,2007,142.0,28.0,30,45,4.0,2.0,228.0,outlier;
1002755,none,unconfirmed,Garry,Brooklyn,Clinton Hill,40.68514,-73.95976,True,moderate,Entire home/apt,2005,368.0,74.0,30,270,4.0,1.0,322.0,outlier;
1003689,Entire Apt: Spacious Studio/Loft by central park,verified,Lyndon,Manhattan,East Harlem,40.79851,-73.94399,False,moderate,Entire home/apt,2009,204.0,41.0,10,9,3.0,1.0,289.0,not-outlier;
1004098,Large Cozy 1 BR Apartment In Midtown East,verified,Michelle,Manhattan,Murray Hill,40.74767,-73.975,True,flexible,Entire home/apt,2013,577.0,115.0,3,74,3.0,1.0,374.0,not-outlier;
1005202,BlissArtsSpace!,unconfirmed,Emma,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,False,moderate,Private room,2009,1060.0,212.0,45,49,5.0,1.0,219.0,outlier;
1005754,Large Furnished Room Near B'way,verified,Evelyn,Manhattan,Hell's Kitchen,40.76489,-73.98493,True,strict,Private room,2005,1018.0,204.0,2,430,3.0,1.0,180.0,not-outlier;
1006307,Cozy Clean Guest Room - Family Apt,unconfirmed,Carl,Manhattan,Upper West Side,40.80178,-73.96723,False,strict,Private room,2015,291.0,58.0,2,118,5.0,1.0,375.0,not-outlier;
1006859,Cute & Cozy Lower East Side 1 bdrm,verified,Miranda,Manhattan,Chinatown,40.71344,-73.99037,False,flexible,Entire home/apt,2004,319.0,64.0,1,160,3.0,4.0,1.0,not-outlier;
1007411,Beautiful 1br on Upper West Side,verified,Alan,Manhattan,Upper West Side,40.80316,-73.96545,True,flexible,Entire home/apt,2008,606.0,121.0,5,53,4.0,1.0,163.0,not-outlier;
1007964,Central Manhattan/near Broadway,verified,none,Manhattan,Hell's Kitchen,40.76076,-73.98867,False,strict,Private room,2008,714.0,143.0,2,188,4.0,1.0,258.0,not-outlier;
1008516,Lovely Room 1, Garden, Best Area, Legal rental,verified,Darcy,Brooklyn,South Slope,40.66829,-73.98779,True,moderate,Private room,2010,580.0,116.0,4,167,4.0,3.0,47.0,not-outlier;
1009068,Wonderful Guest Bedroom in Manhattan for SINGLES,verified,Leonardo,Manhattan,Upper West Side,40.79826,-73.96113,False,flexible,Private room,2019,149.0,30.0,2,113,3.0,1.0,68.0,not-outlier;
1022323,Cute apt in artist's home,verified,Joyce,Brooklyn,Bushwick,40.70186,-73.92745,True,moderate,Entire home/apt,2005,1097.0,219.0,2,231,3.0,2.0,214.0,not-outlier;
1022876,Country space in the city,verified,Deanna,Brooklyn,Flatbush,40.63702,-73.96327,True,strict,Private room,2011,1020.0,204.0,1,0,3.0,1.0,356.0,not-outlier;
1023980,ENJOY Downtown NYC!,unconfirmed,Byron,Manhattan,East Village,40.7229,-73.98199,False,strict,Private room,2005,563.0,113.0,2,245,3.0,2.0,354.0,not-outlier;
1024533,Beautiful Sunny Park Slope Brooklyn,verified,Alina,Brooklyn,South Slope,40.66278,-73.97966,True,flexible,Entire home/apt,2020,370.0,74.0,3,15,2.0,1.0,33.0,not-outlier;
1025637,West Side Retreat,unconfirmed,Alford,Manhattan,Upper West Side,40.79009,-73.97927,False,strict,Private room,2017,856.0,171.0,4,81,3.0,1.0,86.0,not-outlier;
1028399,bright and stylish duplex,verified,Chloe,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,False,moderate,Entire home/apt,2015,363.0,73.0,0,11,1.0,1.0,85.0,not-outlier;
1060984,Modern Brooklyn Apt., August sublet,unconfirmed,Ned,Brooklyn,Williamsburg,40.71459,-73.94844,False,strict,Entire home/apt,2017,589.0,118.0,30,29,1.0,1.0,83.0,outlier;
1061537,1,800 sq foot in luxury building,unconfirmed,Emma,Manhattan,Harlem,40.8092,-73.94421,True,flexible,Private room,2005,839.0,168.0,2,170,1.0,1.0,258.0,not-outlier;
1062089,Sunny 2-story Brooklyn townhouse w deck and garden,verified,Alen,Brooklyn,Gowanus,40.68157,-73.98989,False,strict,Entire home/apt,2011,528.0,106.0,30,19,2.0,1.0,400.0,outlier;
1062641,Times Square, Safe, Clean and Cozy!,unconfirmed,Kevin,Manhattan,Hell's Kitchen,40.75527,-73.99291,True,strict,Private room,2014,66.0,13.0,2,334,1.0,2.0,34.0,not-outlier;
